Spielklasse,Link
131 B-KLASSE 1,https://www.bfv.de/wettbewerbe/meisterschaften/023T295GD800005FVS54898DVST4NHAM-G
132 B-KLASSE 2,https://www.bfv.de/wettbewerbe/meisterschaften/023T295HIG000002VS54898DVST4NHAM-G
133 B-KLASSE 3,https://www.bfv.de/wettbewerbe/meisterschaften/023T295IES000055VS54898DVST4NHAM-G
134 B-KLASSE 4,https://www.bfv.de/wettbewerbe/meisterschaften/023T295JGG00005FVS54898DVST4NHAM-G
135 B-KLASSE 5,https://www.bfv.de/wettbewerbe/meisterschaften/023T295KIC00003GVS54898DVST4NHAM-G
136 B-KLASSE 6,https://www.bfv.de/wettbewerbe/meisterschaften/023T295LHO000024VS54898DVST4NHAM-G
111 KREISKLASSE 1,https://www.bfv.de/wettbewerbe/meisterschaften/023T291NEK000012VS54898DVST4NHAM-G
112 KREISKLASSE 2,https://www.bfv.de/wettbewerbe/meisterschaften/023T291OGO000055VS54898DVST4NHAM-G
113 KREISKLASSE 3,https://www.bfv.de/wettbewerbe/meisterschaften/023T291PK800005DVS54898DVST4NHAM-G
114 KREISKLASSE 4,https://www.bfv.de/wettbewerbe/meisterschaften/023T291QM800005EVS54898DVST4NHAM-G
115 KREISKLASSE 5,https://www.bfv.de/wettbewerbe/meisterschaften/023T291RS000001SVS54898DVST4NHAM-G
116 KREISKLASSE 6,https://www.bfv.de/wettbewerbe/meisterschaften/023T291SUO000037VS54898DVST4NHAM-G
001 BZL OBERBAYERN NORD,https://www.bfv.de/wettbewerbe/meisterschaften/023GGHKI0K000000VS54898DVVRPNIDQ-G
002 BZL OBERBAYERN OST,https://www.bfv.de/wettbewerbe/meisterschaften/023GGHKKQG00000JVS54898DVVRPNIDQ-G
003 BZL OBERBAYERN SÜD,https://www.bfv.de/wettbewerbe/meisterschaften/023GGHKLS800004TVS54898DVVRPNIDQ-G
BK-GR 1 N/F (=B-Klasse),https://www.bfv.de/wettbewerbe/meisterschaften/023T2B5P9O000003VS54898EVS65717F-G
BK-GR 2 N/F,https://www.bfv.de/wettbewerbe/meisterschaften/023T2B78EG000005VS54898EVS65717F-G
BK-GR 3 N/F,https://www.bfv.de/wettbewerbe/meisterschaften/023T2B8QGS000003VS54898EVS65717F-G
BK-GR 4 N/F,https://www.bfv.de/wettbewerbe/meisterschaften/023T2BA638000003VS54898EVS65717F-G
BK-GR 5 N/F,https://www.bfv.de/wettbewerbe/meisterschaften/023TASKHTS000000VS54898DVST4NHAM-G
BK-GR 6 N/F,https://www.bfv.de/wettbewerbe/meisterschaften/023U11BDA000005EVS54898EVUPQIL85-G
BK-GR 7 N/F,https://www.bfv.de/wettbewerbe/meisterschaften/023U11BEEK000056VS54898EVUPQIL85-G
BK-GR 8 N/F,https://www.bfv.de/wettbewerbe/meisterschaften/023U11BFH8000004VS54898EVUPQIL85-G
BK-GR 9 N/F,https://www.bfv.de/wettbewerbe/meisterschaften/023U11BGG400003KVS54898EVUPQIL85-G
KK-GR 1 N/F (=Kreisklasse),https://www.bfv.de/wettbewerbe/meisterschaften/023T0181DO000003VS54898DVST4NHAM-G
KK-GR 2 N/F,https://www.bfv.de/wettbewerbe/meisterschaften/023T02DIH0000004VS54898DVST4NHAM-G
KK-GR 3 N/F,https://www.bfv.de/wettbewerbe/meisterschaften/023TBLPJF0000005VS54898EVS65717F-G
KK-GR 4 N/F,https://www.bfv.de/wettbewerbe/meisterschaften/023TBLPKFC00005JVS54898EVS65717F-G
KK-GR 5 N/F,https://www.bfv.de/wettbewerbe/meisterschaften/023TBLPN2G00000SVS54898EVS65717F-G
BZL MITTELFRANKEN NORD,https://www.bfv.de/wettbewerbe/meisterschaften/023UM6Q48C000009VS54898DVVG1IBJM-G
BZL MITTELFRANKEN SÜD,https://www.bfv.de/wettbewerbe/meisterschaften/023UM6Q4LO000008VS54898DVVG1IBJM-G
B-KLASSE CHA/SAD GR. 1 K-O,https://www.bfv.de/wettbewerbe/meisterschaften/023U6436LO000052VS54898EVUPQIL85-G
B-KLASSE CHA/SAD GR. 2 K-W,https://www.bfv.de/wettbewerbe/meisterschaften/023U6434IS00003HVS54898EVUPQIL85-G
B-KLASSE CHA/SAD GR. 3 KKO,https://www.bfv.de/wettbewerbe/meisterschaften/023U6437KK00001CVS54898EVUPQIL85-G
B-KLASSE CHA/SAD GR. 4 KKS,https://www.bfv.de/wettbewerbe/meisterschaften/023U6438KO00002OVS54898EVUPQIL85-G
B-KLASSE CHA/SAD GR. 5 KKN,https://www.bfv.de/wettbewerbe/meisterschaften/023U6435KC000050VS54898EVUPQIL85-G
B-KLASSE CHA/SAD GR. 6 A-KL O/M,https://www.bfv.de/wettbewerbe/meisterschaften/023U6430OO000052VS54898EVUPQIL85-G
B-KLASSE CHA/SAD GR. 7 A-W/M,https://www.bfv.de/wettbewerbe/meisterschaften/023U6433DK00000KVS54898EVUPQIL85-G
KREISKLASSE CHA/SAD NORD,https://www.bfv.de/wettbewerbe/meisterschaften/023O0HETMS00004SVS54898EVV49UB8O-G
KREISKLASSE CHA/SAD OST,https://www.bfv.de/wettbewerbe/meisterschaften/023O1HH6IC000001VS54898DVV1BQL8U-G
KREISKLASSE CHA/SAD SÜD,https://www.bfv.de/wettbewerbe/meisterschaften/023O1HFTDO000006VS54898DVV1BQL8U-G
BEZIRKSLIGA OBERPFALZ NORD,https://www.bfv.de/wettbewerbe/meisterschaften/023LOEADAG000006VS54898EVV49UB8O-G
BEZIRKSLIGA OBERPFALZ SÜD,https://www.bfv.de/wettbewerbe/meisterschaften/023LOE2928000000VS54898EVV49UB8O-G
BK ALLGÄU 1,https://www.bfv.de/wettbewerbe/meisterschaften/023SVLV5EK000004VS54898EVS65717F-G
BK ALLGÄU 2,https://www.bfv.de/wettbewerbe/meisterschaften/023SVLV63C000005VS54898EVS65717F-G
BK ALLGÄU 3,https://www.bfv.de/wettbewerbe/meisterschaften/023V2RI818000005VS54898EVUPQIL85-G
BK ALLGÄU 4,https://www.bfv.de/wettbewerbe/meisterschaften/023SOUT1SC000008VS54898DVST4NHAM-G
BK ALLGÄU 5,https://www.bfv.de/wettbewerbe/meisterschaften/023V2RI88C000005VS54898EVUPQIL85-G
BK ALLGÄU 6,https://www.bfv.de/wettbewerbe/meisterschaften/023V2RI8BG000005VS54898EVUPQIL85-G
BK ALLGÄU 7,https://www.bfv.de/wettbewerbe/meisterschaften/023SOV0DDO000008VS54898DVST4NHAM-G
BK ALLGÄU 8,https://www.bfv.de/wettbewerbe/meisterschaften/023SVLV6BK000005VS54898EVS65717F-G
KK ALLGÄU 1,https://www.bfv.de/wettbewerbe/meisterschaften/023V2NQ27G000007VS54898EVUPQIL85-G
KK ALLGÄU 2,https://www.bfv.de/wettbewerbe/meisterschaften/023SHRCGPS000000VS54898DVST4NHAM-G
KK ALLGÄU 3,https://www.bfv.de/wettbewerbe/meisterschaften/023V2NP81G000008VS54898EVUPQIL85-G
KK ALLGÄU 4,https://www.bfv.de/wettbewerbe/meisterschaften/023SOR43U8000008VS54898EVS65717F-G
BZL SCHWABEN NORD,https://www.bfv.de/wettbewerbe/meisterschaften/023L2OJ4OC000000VS54898DVV1BQL8U-G
BZL SCHWABEN SÜD,https://www.bfv.de/wettbewerbe/meisterschaften/023L2OJ4BC000006VS54898DVV1BQL8U-G
AK-GR01-K2 STRAUBING (= A-Klasse),https://www.bfv.de/wettbewerbe/meisterschaften/023DKFSVPC000001VS54898DVVRPNIDQ-G
AK-GR02-K2 BOGEN,https://www.bfv.de/wettbewerbe/meisterschaften/023DKGEO5C000001VS54898DVVRPNIDQ-G
AK-GR03-K2 VIECHTACH,https://www.bfv.de/wettbewerbe/meisterschaften/023DKGHSNG000001VS54898DVVRPNIDQ-G
AK-GR04-K2 REGEN,https://www.bfv.de/wettbewerbe/meisterschaften/023DKGL8NC000001VS54898DVVRPNIDQ-G
AK-GR05-K2 GRAFENAU,https://www.bfv.de/wettbewerbe/meisterschaften/023DKGTDRG000000VS54898DVVRPNIDQ-G
AK-GR06-K2 WALDKIRCHEN,https://www.bfv.de/wettbewerbe/meisterschaften/023DKH0788000001VS54898DVVRPNIDQ-G
AK-GR07-K2 PLATTLING,https://www.bfv.de/wettbewerbe/meisterschaften/023DKH2JK0000000VS54898DVVRPNIDQ-G
AK-GR08-K2 VILSHOFEN,https://www.bfv.de/wettbewerbe/meisterschaften/023DKH563O000001VS54898DVVRPNIDQ-G
AK-GR09-K2 EGING,https://www.bfv.de/wettbewerbe/meisterschaften/023DKH72SG000001VS54898DVVRPNIDQ-G
AK-GR10-K2 PASSAU,https://www.bfv.de/wettbewerbe/meisterschaften/023DKH930G000001VS54898DVVRPNIDQ-G
AK-GR11-K2 POCKING,https://www.bfv.de/wettbewerbe/meisterschaften/023OQ4OK44000005VS54898DVV1BQL8U-G
KK-GR1-K2 STRAUBING,https://www.bfv.de/wettbewerbe/meisterschaften/023DK9LP50000000VS54898DVVRPNIDQ-G
KK-GR2-K2 DEGGENDORF,https://www.bfv.de/wettbewerbe/meisterschaften/023DKACDA8000001VS54898DVVRPNIDQ-G
KK-GR3-K2 REGEN,https://www.bfv.de/wettbewerbe/meisterschaften/023DKAG5BO000001VS54898DVVRPNIDQ-G
KK-GR4-K2 FREYUNG,https://www.bfv.de/wettbewerbe/meisterschaften/023DKALJUG000001VS54898DVVRPNIDQ-G
KK-GR5-K2 PASSAU,https://www.bfv.de/wettbewerbe/meisterschaften/023DKB5GBO000001VS54898DVVRPNIDQ-G
KK-GR6-K2 POCKING,https://www.bfv.de/wettbewerbe/meisterschaften/023DKBKVSO000001VS54898DVVRPNIDQ-G
BZL NDB. OST,https://www.bfv.de/wettbewerbe/meisterschaften/023L360TP8000005VS54898DVV1BQL8U-G
BZL NDB. WEST,https://www.bfv.de/wettbewerbe/meisterschaften/023L360TC0000005VS54898DVV1BQL8U-G
BAYERNLIGA NORD ,https://www.bfv.de/wettbewerbe/meisterschaften/023DI3SI2K000025VS54898EVTNSI1CG-G
BAYERNLIGA SÜD,https://www.bfv.de/wettbewerbe/meisterschaften/023DI3SKUC000052VS54898EVTNSI1CG-G
